date,time,code,name,currency,price,diff,per_diff
14/10/2019,09:00,III,3I GRP.,GBX,1078.50,-14.00,-1.28
14/10/2019,09:00,ABF,A.B.FOOD,GBX,2152.00,-29.00,-1.33
14/10/2019,09:00,ADM,ADMIRAL GRP,GBX,2044.00,-32.00,-1.54
14/10/2019,09:00,AAL,ANGLO AMERICAN,GBX,1955.20,-29.40,-1.48
14/10/2019,09:00,ANTO,ANTOFAGASTA,GBX,861.60,-14.20,-1.62
14/10/2019,09:00,AHT,ASHTEAD GRP.,GBX,2146.00,-29.00,-1.33
14/10/2019,09:00,AZN,ASTRAZENECA,GBX,6936.00,+20.00,+0.29
14/10/2019,09:00,AUTO,AUTO TRAD,GBX,523.80,-15.80,-2.93
14/10/2019,09:00,AVV,AVEVA GRP,GBX,3702.00,-16.00,-0.43
14/10/2019,09:00,AV.,AVIVA,GBX,396.40,-8.80,-2.17
14/10/2019,09:00,BA.,BAE SYS.,GBX,553.60,-2.40,-0.43
14/10/2019,09:00,BARC,BARCLAYS,GBX,157.56,-2.92,-1.82
14/10/2019,09:00,BDEV,BARRATT DEVEL.,GBX,632.60,-21.80,-3.33
14/10/2019,09:00,BKG,BERKELEY GP.HLD,GBX,4327.00,-28.00,-0.64
14/10/2019,09:00,BHP,BHP GROUP,GBX,1700.80,-19.60,-1.14
14/10/2019,09:00,BP.,BP,GBX,493.55,0.00,+0.00
14/10/2019,09:00,BATS,BR.AMER.TOB.,GBX,2702.50,-7.50,-0.28
14/10/2019,09:00,BLND,BR.LAND,GBX,580.20,-10.80,-1.83
14/10/2019,09:00,BT.A,BT GROUP,GBX,194.54,-2.46,-1.25
14/10/2019,09:00,BNZL,BUNZL,GBX,2005.00,-20.00,-0.99
14/10/2019,09:00,BRBY,BURBERRY GRP,GBX,2005.00,+1.00,+0.05
14/10/2019,09:00,CCL,CARNIVAL,GBX,3117.00,-2.00,-0.06
14/10/2019,09:00,CNA,CENTRICA,GBX,67.66,-1.10,-1.60
14/10/2019,09:00,CCH,COCACOLA HBC AG,GBX,2533.00,-9.00,-0.35
14/10/2019,09:00,CPG,COMPASS GROUP,GBX,2014.00,+7.00,+0.35
14/10/2019,09:00,CRH,CRH,GBX,2699.00,-11.00,-0.41
14/10/2019,09:00,CRDA,CRODA INTL.,GBX,4690.00,-44.00,-0.93
14/10/2019,09:00,DCC,DCC,GBX,6810.00,-90.00,-1.30
14/10/2019,09:00,DGE,DIAGEO,GBX,3223.50,+13.50,+0.42
14/10/2019,09:00,EVR,EVRAZ,GBX,420.10,-14.40,-3.31
14/10/2019,09:00,EXPN,EXPERIAN,GBX,2488.00,+5.00,+0.20
14/10/2019,09:00,FERG,FERGUSON,GBX,6380.00,-20.00,-0.31
14/10/2019,09:00,FLTR,FLUTTER ENT,GBX,7584.00,-66.00,-0.86
14/10/2019,09:00,FRES,FRESNILLO,GBX,621.80,-9.00,-1.43
14/10/2019,09:00,GSK,GLAXOSMITHKLINE,GBX,1687.00,+12.00,+0.72
14/10/2019,09:00,GLEN,GLENCORE,GBX,232.10,-5.40,-2.27
14/10/2019,09:00,HLMA,HALMA,GBX,1882.00,-7.00,-0.37
14/10/2019,09:00,HL.,HARGREAVES LANS,GBX,1812.00,-40.50,-2.19
14/10/2019,09:00,HIK,HIKMA,GBX,2019.00,-3.00,-0.15
14/10/2019,09:00,HSX,HISCOX,GBX,1577.00,-27.00,-1.68
14/10/2019,09:00,HSBA,HSBC HLDGS.UK,GBX,605.90,-1.50,-0.25
14/10/2019,09:00,IMB,IMP.BRANDS,GBX,1834.60,-18.80,-1.01
14/10/2019,09:00,INF,INFORMA,GBX,781.20,-6.80,-0.86
14/10/2019,09:00,IHG,INTERCON. HOTEL,GBX,4737.50,-24.50,-0.51
14/10/2019,09:00,ITRK,INTERTEK GROUP,GBX,5210.00,-40.00,-0.76
14/10/2019,09:00,IAG,INTL CONSOL AIR,GBX,483.70,-15.20,-3.05
14/10/2019,09:00,ITV,ITV,GBX,126.60,-2.70,-2.09
14/10/2019,09:00,JD.,JD SPORTS,GBX,757.20,-3.60,-0.47
14/10/2019,09:00,JMAT,JOHNSON MATTHEY,GBX,2954.00,-27.00,-0.91
14/10/2019,09:00,JE.,JUST EAT,GBX,622.80,-4.60,-0.73
14/10/2019,09:00,KGF,KINGFISHER,GBX,210.30,+0.10,+0.05
14/10/2019,09:00,LAND,LAND SECS.,GBX,878.00,-17.60,-1.97
14/10/2019,09:00,LGEN,LEGAL&GEN.,GBX,254.20,-6.60,-2.53
14/10/2019,09:00,LLOY,LLOYDS GRP.,GBX,56.85,-2.28,-3.86
14/10/2019,09:00,LSE,LON.STK.EXCH,GBX,7272.00,-28.00,-0.38
14/10/2019,09:00,MGGT,MEGGITT,GBX,614.00,-4.60,-0.74
14/10/2019,09:00,MRO,MELROSE IND,GBX,199.45,-1.65,-0.82
14/10/2019,09:00,MNDI,MONDI,GBX,1572.50,-23.00,-1.44
14/10/2019,09:00,MRW,MORRISON (WM),GBX,200.40,-2.90,-1.43
14/10/2019,09:00,NG.,NATIONAL GRID,GBX,889.80,-1.80,-0.20
14/10/2019,09:00,NXT,NEXT,GBX,6414.00,-44.00,-0.68
14/10/2019,09:00,NMC,NMC HEALTH,GBX,2627.00,-81.00,-2.99
14/10/2019,09:00,OCDO,OCADO,GBX,1273.50,-48.50,-3.67
14/10/2019,09:00,PSON,PEARSON,GBX,688.60,-5.00,-0.72
14/10/2019,09:00,PSN,PERSIMMON,GBX,2238.00,-49.00,-2.14
14/10/2019,09:00,PHNX,PHOENIX GRP HDG,GBX,691.90,-12.60,-1.79
14/10/2019,09:00,POLY,POLYMETAL INT,GBX,1134.50,-8.00,-0.70
14/10/2019,09:00,PRU,PRUDENTIAL,GBX,1479.00,-29.50,-1.96
14/10/2019,09:00,RDSA,RDS 'A',GBX,2288.00,-2.50,-0.11
14/10/2019,09:00,RDSB,RDS 'B',GBX,2277.00,-5.00,-0.22
14/10/2019,09:00,RB.,RECKITT BEN. GP,GBX,6104.00,+9.00,+0.15
14/10/2019,09:00,REL,RELX,GBX,1838.00,+1.50,+0.08
14/10/2019,09:00,RTO,RENTOKIL INITL.,GBX,459.40,+4.70,+1.03
14/10/2019,09:00,RMV,RIGHTMOVE,GBX,550.00,-7.00,-1.26
14/10/2019,09:00,RIO,RIO TINTO,GBX,4133.00,-76.50,-1.82
14/10/2019,09:00,RR.,ROLLS-ROYCE HLG,GBX,745.80,+2.60,+0.35
14/10/2019,09:00,RBS,ROYAL BANK SCOT,GBX,211.50,-6.80,-3.12
14/10/2019,09:00,RSA,RSA INS.,GBX,513.80,-10.40,-1.98
14/10/2019,09:00,SGE,SAGE GRP.,GBX,702.00,+9.00,+1.30
14/10/2019,09:00,SBRY,SAINSBURY(J),GBX,209.50,-5.10,-2.38
14/10/2019,09:00,SDR,SCHRODERS,GBX,2907.00,-62.00,-2.09
14/10/2019,09:00,SMT,SCOTTISH MORT,GBX,497.00,-3.00,-0.60
14/10/2019,09:00,SGRO,SEGRO,GBX,809.80,-12.40,-1.51
14/10/2019,09:00,SVT,SEVERN TRENT,GBX,2170.00,-45.00,-2.03
14/10/2019,09:00,SN.,SMITH&NEPHEW,GBX,1862.00,+2.00,+0.11
14/10/2019,09:00,SMDS,SMITH(DS),GBX,338.90,-6.10,-1.77
14/10/2019,09:00,SMIN,SMITHS GROUP,GBX,1568.00,-9.50,-0.60
14/10/2019,09:00,SKG,SMURFIT KAP.,GBX,2488.00,-42.00,-1.66
14/10/2019,09:00,SPX,SPIRAX-SARCO,GBX,7515.00,-50.00,-0.66
14/10/2019,09:00,SSE,SSE,GBX,1281.00,-28.00,-2.14
14/10/2019,09:00,STJ,ST.JAMES'S PLAC,GBX,985.40,-19.10,-1.90
14/10/2019,09:00,STAN,STAND.CHART.,GBX,647.00,-8.40,-1.28
14/10/2019,09:00,SLA,STD LIFE ABER,GBX,281.30,-4.70,-1.64
14/10/2019,09:00,TW.,TAYLOR WIMPEY,GBX,160.30,-3.45,-2.11
14/10/2019,09:00,TSCO,TESCO,GBX,238.00,-4.20,-1.73
14/10/2019,09:00,TUI,TUI AG,GBX,986.60,-18.40,-1.83
14/10/2019,09:00,ULVR,UNILEVER,GBX,4650.50,+3.50,+0.07
14/10/2019,09:00,UU.,UTD. UTILITIES,GBX,827.00,-16.80,-1.99
14/10/2019,09:00,VOD,VODAFONE GRP.,GBX,161.86,+0.56,+0.35
14/10/2019,09:00,WTB,WHITBREAD,GBX,4171.00,-24.00,-0.57
14/10/2019,09:00,WPP,WPP,GBX,955.60,+24.60,+2.64
14/10/2019,09:15,III,3I GRP.,GBX,1080.00,-12.50,-1.14
14/10/2019,09:15,ABF,A.B.FOOD,GBX,2153.00,-28.00,-1.28
14/10/2019,09:15,ADM,ADMIRAL GRP,GBX,2049.00,-27.00,-1.30
14/10/2019,09:15,AAL,ANGLO AMERICAN,GBX,1950.40,-34.20,-1.72
14/10/2019,09:15,ANTO,ANTOFAGASTA,GBX,859.60,-16.20,-1.85
14/10/2019,09:15,AHT,ASHTEAD GRP.,GBX,2149.00,-26.00,-1.20
14/10/2019,09:15,AZN,ASTRAZENECA,GBX,6960.00,+44.00,+0.64
14/10/2019,09:15,AUTO,AUTO TRAD,GBX,527.40,-12.20,-2.26
14/10/2019,09:15,AVV,AVEVA GRP,GBX,3718.00,0.00,+0.00
14/10/2019,09:15,AV.,AVIVA,GBX,397.00,-8.20,-2.02
14/10/2019,09:15,BA.,BAE SYS.,GBX,556.20,+0.20,+0.04
14/10/2019,09:15,BARC,BARCLAYS,GBX,157.42,-3.06,-1.91
14/10/2019,09:15,BDEV,BARRATT DEVEL.,GBX,633.80,-20.60,-3.15
14/10/2019,09:15,BKG,BERKELEY GP.HLD,GBX,4327.00,-28.00,-0.64
14/10/2019,09:15,BHP,BHP GROUP,GBX,1696.40,-24.00,-1.40
14/10/2019,09:15,BP.,BP,GBX,494.60,+1.05,+0.21
14/10/2019,09:15,BATS,BR.AMER.TOB.,GBX,2711.50,+1.50,+0.06
14/10/2019,09:15,BLND,BR.LAND,GBX,581.80,-9.20,-1.56
14/10/2019,09:15,BT.A,BT GROUP,GBX,195.10,-1.90,-0.96
14/10/2019,09:15,BNZL,BUNZL,GBX,2010.00,-15.00,-0.74
14/10/2019,09:15,BRBY,BURBERRY GRP,GBX,2002.00,-2.00,-0.10
14/10/2019,09:15,CCL,CARNIVAL,GBX,3117.00,-2.00,-0.06
14/10/2019,09:15,CNA,CENTRICA,GBX,67.56,-1.20,-1.75
14/10/2019,09:15,CCH,COCACOLA HBC AG,GBX,2545.00,+3.00,+0.12
14/10/2019,09:15,CPG,COMPASS GROUP,GBX,2019.00,+12.00,+0.60
14/10/2019,09:15,CRH,CRH,GBX,2701.00,-9.00,-0.33
14/10/2019,09:15,CRDA,CRODA INTL.,GBX,4708.00,-26.00,-0.55
